benchmark,architecture,memory_mb,timeout_sec,idle_gap_sec,invocations,failed_invocations,success_rate,cold_probability,successful_invocations,mean_client_latency_ms,p50_latency_ms,p95_latency_ms,profile_source,warm_mean_client_latency_ms,warm_p95_latency_ms,estimated_cold_overhead_ms,estimated_p95_cold_overhead_ms
110.dynamic-html,x64,1024,120,0,1,0,1.0,0.0,1,34.021,34.021,34.021,measured,17.631,19.2562,16.39,14.764800000000001
110.dynamic-html,x64,1024,120,120,1,0,1.0,0.0,1,111.572,111.572,111.572,measured,17.631,19.2562,93.941,92.3158
110.dynamic-html,x64,1024,120,300,1,0,1.0,0.0,1,408.252,408.252,408.252,measured,17.631,19.2562,390.621,388.99580000000003
110.dynamic-html,x64,1024,120,600,1,0,1.0,0.0,1,134.336,134.336,134.336,measured,17.631,19.2562,116.70500000000001,115.0798
110.dynamic-html,x64,1024,120,900,1,0,1.0,1.0,1,13352.206,13352.206,13352.206,measured,17.631,19.2562,13334.575,13332.9498
110.dynamic-html,x64,1024,300,-1,1,0,1.0,1.0,1,18157.865,18157.865,18157.865,measured,16.30966666666667,16.7522,18141.555333333334,18141.112800000003
110.dynamic-html,x64,1024,300,0,1,0,1.0,0.0,1,31.729,31.729,31.729,measured,16.30966666666667,16.7522,15.41933333333333,14.9768
110.dynamic-html,x64,1024,300,120,1,0,1.0,0.0,1,116.763,116.763,116.763,measured,16.30966666666667,16.7522,100.45333333333333,100.0108
110.dynamic-html,x64,1024,300,300,1,0,1.0,0.0,1,68.797,68.797,68.797,measured,16.30966666666667,16.7522,52.487333333333325,52.044799999999995
110.dynamic-html,x64,1024,300,600,1,0,1.0,0.0,1,46.677,46.677,46.677,measured,16.30966666666667,16.7522,30.36733333333333,29.9248
110.dynamic-html,x64,1024,300,900,1,0,1.0,1.0,1,22368.108,22368.108,22368.108,measured,16.30966666666667,16.7522,22351.798333333332,22351.3558
110.dynamic-html,x64,1024,900,0,1,1,0.0,0.0,0,,,,warmup_only,28.502,37.0736,,
110.dynamic-html,x64,2048,60,-1,1,1,0.0,0.0,0,,,,measured,25.99933333333333,31.5677,,
110.dynamic-html,x64,2048,60,0,1,0,1.0,1.0,1,3726.939,3726.939,3726.939,warmup_only,25.99933333333333,31.5677,3700.9396666666667,3695.3713
110.dynamic-html,x64,2048,120,-1,1,0,1.0,1.0,1,39027.984,39027.984,39027.984,measured,46.784333333333336,60.228,38981.19966666666,38967.755999999994
110.dynamic-html,x64,2048,120,0,1,0,1.0,0.0,1,35.465,35.465,35.465,measured,46.784333333333336,60.228,-11.319333333333333,-24.762999999999998
110.dynamic-html,x64,2048,120,120,1,0,1.0,0.0,1,126.549,126.549,126.549,measured,46.784333333333336,60.228,79.76466666666667,66.321
110.dynamic-html,x64,2048,120,300,1,0,1.0,0.0,1,114.604,114.604,114.604,measured,46.784333333333336,60.228,67.81966666666666,54.376
110.dynamic-html,x64,2048,120,600,1,0,1.0,0.0,1,109.299,109.299,109.299,measured,46.784333333333336,60.228,62.51466666666667,49.071000000000005
110.dynamic-html,x64,2048,120,900,1,0,1.0,1.0,1,25166.495,25166.495,25166.495,measured,46.784333333333336,60.228,25119.710666666666,25106.267
