benchmark,architecture,memory_mb,timeout_sec,invocations,failed_invocations,success_rate,cold_rate,successful_invocations,mean_client_latency_ms,mean_benchmark_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,profile_source
210.thumbnailer,x64,128,300,3,0,1.0,0.0,3,43.311,25.018666666666665,43.065,45.6408,45.86976,measured
210.thumbnailer,x64,128,900,3,0,1.0,0.0,3,44.46033333333333,26.029,44.188,49.7725,50.2689,measured
210.thumbnailer,x64,256,60,3,0,1.0,0.0,3,43.11233333333333,26.529,44.523,46.6956,46.88872,measured
210.thumbnailer,x64,256,120,3,0,1.0,0.0,3,46.097,27.597333333333335,46.035,49.4658,49.77076,measured
210.thumbnailer,x64,256,300,3,0,1.0,0.0,3,41.80733333333333,23.364666666666665,42.744,42.7998,42.804759999999995,measured
210.thumbnailer,x64,256,900,3,0,1.0,0.0,3,43.64066666666667,25.298333333333332,42.871,45.976,46.251999999999995,measured
210.thumbnailer,x64,512,60,3,0,1.0,0.0,3,47.805,26.417333333333335,47.685,54.0768,54.64496,measured
210.thumbnailer,x64,512,120,3,0,1.0,0.0,3,47.553,28.451000000000004,52.143,52.671299999999995,52.718259999999994,measured
210.thumbnailer,x64,512,300,3,0,1.0,0.0,3,48.441,27.385,41.271,62.9349,64.86058,measured
210.thumbnailer,x64,512,900,3,0,1.0,0.0,3,39.163999999999994,22.242333333333335,37.82,41.6729,42.01538,measured
210.thumbnailer,x64,1024,60,3,0,1.0,0.0,3,39.86066666666667,22.037333333333333,39.84,40.1271,40.15262,measured
210.thumbnailer,x64,1024,120,3,0,1.0,0.0,3,38.24466666666667,22.074333333333332,37.569,39.4347,39.60054,measured
210.thumbnailer,x64,1024,300,3,0,1.0,0.0,3,41.20133333333333,23.939000000000004,39.491,45.5408,46.07856,measured
210.thumbnailer,x64,1024,900,3,0,1.0,0.0,3,50.48766666666666,30.557,53.986,54.5881,54.64162,measured
210.thumbnailer,x64,2048,60,3,0,1.0,0.0,3,42.451,25.343,40.765,47.1055,47.6691,measured
210.thumbnailer,x64,2048,120,3,0,1.0,0.0,3,204.42533333333336,166.43133333333333,194.702,268.007,274.52299999999997,measured
210.thumbnailer,x64,2048,300,3,0,1.0,0.0,3,47.11433333333334,28.484333333333336,49.152,52.740300000000005,53.05926,measured
210.thumbnailer,x64,2048,900,3,0,1.0,0.0,3,39.36933333333334,22.217,39.564,39.7143,39.72766,measured
210.thumbnailer,x64,3008,60,3,0,1.0,0.0,3,45.818999999999996,26.542333333333335,44.919,47.445299999999996,47.66986,measured
210.thumbnailer,x64,3008,120,3,0,1.0,0.0,3,43.437666666666665,23.788666666666668,43.731,46.4031,46.640620000000006,measured
210.thumbnailer,x64,3008,300,3,0,1.0,0.0,3,46.348000000000006,26.959000000000003,43.857,53.6076,54.47432,measured
210.thumbnailer,x64,3008,900,3,0,1.0,0.0,3,44.98566666666667,25.871333333333336,45.103,47.5276,47.74312,measured
311.compression,x64,128,60,3,0,1.0,0.0,3,235.52266666666665,216.94933333333333,230.842,245.9332,247.27464,measured
311.compression,x64,128,120,3,0,1.0,0.0,3,243.54100000000003,226.90566666666666,237.543,260.9124,262.98968,measured
311.compression,x64,128,300,3,0,1.0,0.0,3,242.23433333333332,223.57899999999998,242.382,251.73209999999997,252.56321999999997,measured
311.compression,x64,128,900,3,0,1.0,0.0,3,255.11366666666666,236.165,255.173,269.2022,270.44924000000003,measured
311.compression,x64,256,60,3,0,1.0,0.0,3,231.83900000000003,214.55266666666668,235.392,240.684,241.15439999999998,measured
311.compression,x64,256,120,3,0,1.0,0.0,3,232.18666666666664,213.45666666666668,227.647,244.6345,246.1445,measured
311.compression,x64,256,300,3,0,1.0,0.0,3,229.51533333333336,210.48766666666666,228.292,231.65439999999998,231.95327999999998,measured
311.compression,x64,256,900,3,0,1.0,0.0,3,238.169,218.52033333333335,239.559,240.7866,240.89572,measured
311.compression,x64,512,60,3,0,1.0,0.0,3,250.03566666666666,232.218,253.51,265.8868,266.98696,measured
311.compression,x64,512,120,3,0,1.0,0.0,3,224.26566666666668,208.1966666666667,223.038,226.53179999999998,226.84235999999999,measured
311.compression,x64,512,300,3,0,1.0,0.0,3,238.65233333333333,219.59033333333332,244.712,245.46259999999998,245.52931999999998,measured
311.compression,x64,512,900,3,0,1.0,0.0,3,243.02866666666668,225.67133333333334,230.463,273.5073,277.33346,measured
311.compression,x64,1024,60,3,0,1.0,0.0,3,231.14766666666665,214.139,230.061,240.9006,241.86411999999999,measured
311.compression,x64,1024,120,3,0,1.0,0.0,3,245.34033333333335,226.04999999999998,237.657,264.5256,266.91392,measured
311.compression,x64,1024,300,3,0,1.0,0.0,3,222.03866666666667,204.52800000000002,222.541,222.6031,222.60862,measured
311.compression,x64,1024,900,3,0,1.0,0.0,3,234.83433333333335,215.37966666666668,234.733,237.91,238.1924,measured
311.compression,x64,2048,60,3,0,1.0,0.0,3,234.68866666666668,216.3166666666667,229.551,243.71970000000002,244.97914,measured
311.compression,x64,2048,120,3,0,1.0,0.0,3,228.45399999999998,210.54733333333334,220.956,242.9403,244.89446,measured
311.compression,x64,2048,300,3,0,1.0,0.0,3,225.79033333333334,209.43466666666666,217.942,240.55,242.55960000000002,measured
311.compression,x64,2048,900,3,0,1.0,0.0,3,272.388,251.74833333333333,270.697,308.9164,312.31368000000003,measured
311.compression,x64,3008,60,3,0,1.0,0.0,3,238.2023333333333,217.295,240.521,250.6388,251.53816,measured
311.compression,x64,3008,120,3,0,1.0,0.0,3,224.058,207.54833333333332,222.78,229.8765,230.5073,measured
311.compression,x64,3008,300,3,0,1.0,0.0,3,230.74433333333332,211.795,232.503,232.7928,232.81856,measured
311.compression,x64,3008,900,3,0,1.0,0.0,3,224.194,206.64733333333334,222.502,228.523,229.0582,measured
411.image-recognition,x64,128,60,4,4,0.0,0.0,0,,,,,,warmup_only
411.image-recognition,x64,128,120,4,4,0.0,0.0,0,,,,,,warmup_only
411.image-recognition,x64,128,300,4,4,0.0,0.0,0,,,,,,warmup_only
411.image-recognition,x64,128,900,4,4,0.0,0.0,0,,,,,,warmup_only
411.image-recognition,x64,256,60,4,4,0.0,0.0,0,,,,,,warmup_only
411.image-recognition,x64,256,120,4,4,0.0,0.0,0,,,,,,warmup_only
411.image-recognition,x64,256,300,4,4,0.0,0.0,0,,,,,,warmup_only
411.image-recognition,x64,256,900,4,4,0.0,0.0,0,,,,,,warmup_only
411.image-recognition,x64,512,60,3,0,1.0,0.0,3,43.415333333333336,24.83066666666667,40.661,48.761,49.481,measured
411.image-recognition,x64,512,120,3,0,1.0,0.0,3,47.90366666666667,28.108666666666664,47.686,49.301500000000004,49.445100000000004,measured
411.image-recognition,x64,512,300,3,0,1.0,0.0,3,43.82966666666667,24.781666666666666,43.801,44.5759,44.64478,measured
411.image-recognition,x64,512,900,3,0,1.0,0.0,3,50.274333333333324,30.853333333333335,51.848,52.3835,52.4311,measured
411.image-recognition,x64,1024,60,3,0,1.0,0.0,3,39.49033333333333,22.072333333333333,39.581,39.9779,40.01318,measured
411.image-recognition,x64,1024,120,3,0,1.0,0.0,3,45.790333333333336,26.307333333333332,41.302,53.6293,54.72506,measured
411.image-recognition,x64,1024,300,3,0,1.0,0.0,3,39.07666666666666,22.130666666666666,39.605,39.9677,39.99994,measured
411.image-recognition,x64,1024,900,3,0,1.0,0.0,3,38.24733333333334,22.792999999999996,38.634,40.074,40.202,measured
411.image-recognition,x64,2048,60,3,0,1.0,0.0,3,47.405,27.962666666666667,47.417,47.660900000000005,47.68258,measured
411.image-recognition,x64,2048,120,3,0,1.0,0.0,3,51.71533333333334,31.706666666666667,46.655,60.326899999999995,61.542179999999995,measured
411.image-recognition,x64,2048,300,3,0,1.0,0.0,3,46.51266666666667,27.718,45.239,52.2914,52.91828,measured
411.image-recognition,x64,2048,900,3,0,1.0,0.0,3,42.153333333333336,24.063666666666666,40.969,45.3655,45.756299999999996,measured
411.image-recognition,x64,3008,60,3,0,1.0,0.0,3,42.723000000000006,25.651333333333337,41.996,46.3817,46.77154,measured
411.image-recognition,x64,3008,120,3,0,1.0,0.0,3,42.48866666666667,23.443,42.181,43.6237,43.75194,measured
411.image-recognition,x64,3008,300,3,0,1.0,0.0,3,43.910333333333334,25.676,43.734,45.624900000000004,45.79298,measured
411.image-recognition,x64,3008,900,3,0,1.0,0.0,3,43.71233333333333,27.427000000000003,43.644,45.570899999999995,45.74218,measured
