benchmark,architecture,memory_mb,timeout_sec,concurrency,invocations,failed_invocations,success_rate,rounds,cold_rate,successful_invocations,mean_client_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,profile_source,warm_only_successful_invocations,warm_only_mean_client_latency_ms,warm_only_p50_latency_ms,warm_only_p95_latency_ms,warm_only_p99_latency_ms,warm_mean_client_latency_ms,warm_p50_latency_ms,warm_p95_latency_ms,warm_p99_latency_ms,latency_slowdown_mean,latency_slowdown_p50,latency_slowdown_p95,latency_slowdown_p99
110.dynamic-html,x64,256,300,1,4,0,1.0,4,0.0,4,32.10925,30.281,50.0825,50.969300000000004,measured,4,32.10925,30.281,50.0825,50.969300000000004,25.69233333333333,24.582,30.5895,31.1235,1.249759980279461,1.2318363029859245,1.637244806224358,1.6376467942230148
110.dynamic-html,x64,256,300,2,10,0,1.0,5,0.0,10,24.9713,27.03,29.84535,29.88747,measured,10,24.9713,27.03,29.84535,29.88747,25.69233333333333,24.582,30.5895,31.1235,0.9719358563514409,1.099585062240664,0.9756730250576178,0.9602862788568124
110.dynamic-html,x64,256,300,4,20,0,1.0,5,0.0,20,23.4187,21.493,43.885000000000005,45.253,measured,20,23.4187,21.493,43.885000000000005,45.253,25.69233333333333,24.582,30.5895,31.1235,0.9115053777391441,0.874338947197136,1.4346426061230162,1.4539817179944414
110.dynamic-html,x64,256,900,1,3,0,1.0,3,0.0,3,35.832,43.035,44.7675,44.9215,measured,3,35.832,43.035,44.7675,44.9215,19.915333333333333,18.624,23.4129,23.83858,1.7992166839621064,2.310728092783505,1.9120869264379892,1.8844033495283696
110.dynamic-html,x64,256,900,2,10,0,1.0,5,0.0,10,19.7976,20.512999999999998,23.5001,23.62322,measured,10,19.7976,20.512999999999998,23.5001,23.62322,19.915333333333333,18.624,23.4129,23.83858,0.994088307167007,1.101428264604811,1.00372444250819,0.9909659048483592
110.dynamic-html,x64,256,900,4,16,0,1.0,4,0.0,16,21.949375,18.747,37.289249999999996,38.14185,measured,16,21.949375,18.747,37.289249999999996,38.14185,19.915333333333333,18.624,23.4129,23.83858,1.1021344525156496,1.006604381443299,1.5926796765885471,1.600005117754497
110.dynamic-html,x64,512,60,1,3,0,1.0,3,0.0,3,30.516666666666666,18.441,54.4086,57.60572,measured,3,30.516666666666666,18.441,54.4086,57.60572,19.053,17.556,23.3106,23.82212,1.601672527510978,1.0504101161995898,2.3340711950786335,2.418160936138345
110.dynamic-html,x64,512,60,2,10,0,1.0,5,0.0,10,20.423,21.625999999999998,24.9525,25.1937,measured,10,20.423,21.625999999999998,24.9525,25.1937,19.053,17.556,23.3106,23.82212,1.0719046869259432,1.2318295739348368,1.070435767419114,1.0575759000458396
110.dynamic-html,x64,512,60,4,12,0,1.0,3,0.0,12,19.281000000000002,18.1605,23.1585,23.3037,measured,12,19.281000000000002,18.1605,23.1585,23.3037,19.053,17.556,23.3106,23.82212,1.0119666194300112,1.0344326725905673,0.9934750714267329,0.9782378730356491
110.dynamic-html,x64,512,120,1,5,0,1.0,5,0.0,5,37.6046,32.706,56.8846,57.23772,measured,5,37.6046,32.706,56.8846,57.23772,17.93766666666667,18.088,18.4552,18.48784,2.096404214594986,1.8081601061477224,3.0823074255494385,3.095965780751024
110.dynamic-html,x64,512,120,2,10,0,1.0,5,0.0,10,23.1988,23.441,32.39224999999999,36.141650000000006,measured,10,23.1988,23.441,32.39224999999999,36.141650000000006,17.93766666666667,18.088,18.4552,18.48784,1.2933008752531914,1.2959420610349401,1.755182821101911,1.9548876450683264
