benchmark,architecture,memory_mb,timeout_sec,invocations,failed_invocations,success_rate,cold_rate,successful_invocations,mean_client_latency_ms,mean_benchmark_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,profile_source
120.uploader,arm64,3008,900,3,0,1.0,0.0,3,1147.1036666666666,1117.922,944.12,1709.6897,1777.7403399999998,measured
210.thumbnailer,arm64,128,60,3,0,1.0,0.0,3,70.161,42.254,70.278,70.3788,70.38776,measured
210.thumbnailer,arm64,128,120,3,0,1.0,0.0,3,69.972,42.256,69.833,70.6394,70.71108,measured
210.thumbnailer,arm64,128,300,3,0,1.0,0.0,3,70.31533333333333,42.22,70.016,71.07169999999999,71.16554,measured
210.thumbnailer,arm64,128,900,3,0,1.0,0.0,3,70.45733333333334,42.63733333333333,70.303,70.9141,70.96842,measured
210.thumbnailer,arm64,256,60,3,0,1.0,0.0,3,70.943,42.33833333333333,70.468,72.22840000000001,72.38488000000001,measured
210.thumbnailer,arm64,256,120,3,0,1.0,0.0,3,69.68266666666666,42.03633333333333,69.922,70.1308,70.14936,measured
210.thumbnailer,arm64,256,300,3,0,1.0,0.0,3,70.63799999999999,42.318333333333335,71.041,71.47749999999999,71.5163,measured
210.thumbnailer,arm64,256,900,3,0,1.0,0.0,3,71.60933333333334,44.07333333333333,70.223,74.7689,75.17298,measured
210.thumbnailer,arm64,512,60,3,0,1.0,0.0,3,69.252,42.15266666666667,69.751,70.1893,70.22826,measured
210.thumbnailer,arm64,512,120,3,0,1.0,0.0,3,71.78066666666666,41.76,72.967,73.0345,73.0405,measured
210.thumbnailer,arm64,512,300,3,0,1.0,0.0,3,73.027,42.49966666666666,73.0,73.0954,73.10387999999999,measured
210.thumbnailer,arm64,512,900,3,0,1.0,0.0,3,71.10433333333333,42.297333333333334,70.039,72.92710000000001,73.18382000000001,measured
210.thumbnailer,arm64,1024,60,3,0,1.0,0.0,3,71.68233333333333,42.59966666666667,72.348,72.5649,72.58418,measured
210.thumbnailer,arm64,1024,120,3,0,1.0,0.0,3,72.49666666666667,42.12766666666666,73.029,73.9164,73.99528,measured
210.thumbnailer,arm64,1024,300,3,0,1.0,0.0,3,72.18166666666667,41.931666666666665,71.681,73.1957,73.33034,measured
210.thumbnailer,arm64,1024,900,3,0,1.0,0.0,3,70.596,42.32033333333334,70.638,70.9863,71.01726000000001,measured
210.thumbnailer,arm64,2048,60,3,0,1.0,0.0,3,71.25566666666667,42.592999999999996,71.6,71.6918,71.69996,measured
210.thumbnailer,arm64,2048,120,3,0,1.0,0.0,3,72.42833333333333,41.82533333333333,72.726,72.8232,72.83184,measured
210.thumbnailer,arm64,2048,300,3,0,1.0,0.0,3,72.163,42.02266666666667,72.366,72.3849,72.38658,measured
210.thumbnailer,arm64,2048,900,3,0,1.0,0.0,3,70.35933333333334,42.306666666666665,69.962,71.1032,71.20464,measured
210.thumbnailer,arm64,3008,60,3,0,1.0,0.0,3,71.42066666666666,42.61333333333334,71.187,71.9844,72.05528,measured
210.thumbnailer,arm64,3008,120,3,0,1.0,0.0,3,72.25366666666666,41.978,72.149,72.4568,72.48416,measured
210.thumbnailer,arm64,3008,300,3,0,1.0,0.0,3,71.43566666666666,41.79566666666667,71.258,71.79169999999999,71.83914,measured
210.thumbnailer,arm64,3008,900,3,0,1.0,0.0,3,70.783,42.66766666666666,70.21,71.87320000000001,72.02104000000001,measured
311.compression,arm64,128,60,3,0,1.0,0.0,3,406.229,377.3723333333333,408.25,409.90599999999995,410.05319999999995,measured
311.compression,arm64,128,120,3,0,1.0,0.0,3,405.0896666666667,376.1376666666667,407.403,407.997,408.0498,measured
311.compression,arm64,128,300,3,0,1.0,0.0,3,402.68833333333333,374.185,403.37,403.9271,403.97661999999997,measured
311.compression,arm64,128,900,3,0,1.0,0.0,3,403.0026666666667,374.3523333333333,403.246,406.3033,406.57505999999995,measured
311.compression,arm64,256,60,3,0,1.0,0.0,3,403.62433333333337,375.1513333333333,401.41,408.7648,409.41856,measured
311.compression,arm64,256,120,3,0,1.0,0.0,3,402.944,374.6583333333333,402.351,404.9547,405.18614,measured
311.compression,arm64,256,300,3,0,1.0,0.0,3,395.42266666666666,368.0273333333334,395.911,396.3565,396.3961,measured
311.compression,arm64,256,900,3,0,1.0,0.0,3,402.22700000000003,373.612,400.729,406.81120000000004,407.35184000000004,measured
311.compression,arm64,512,60,3,0,1.0,0.0,3,401.77566666666667,373.7126666666666,401.496,403.683,403.87739999999997,measured
311.compression,arm64,512,120,3,0,1.0,0.0,3,402.4726666666667,371.425,398.694,409.4031,410.35502,measured
311.compression,arm64,512,300,3,0,1.0,0.0,3,402.93399999999997,371.715,402.479,403.9775,404.1107,measured
311.compression,arm64,512,900,3,0,1.0,0.0,3,400.3453333333334,372.26933333333335,400.663,403.8463,404.12926,measured
311.compression,arm64,1024,60,3,0,1.0,0.0,3,402.3966666666667,373.5903333333333,403.207,404.1115,404.1919,measured
311.compression,arm64,1024,120,3,0,1.0,0.0,3,400.59833333333336,369.38599999999997,399.831,407.2146,407.87092,measured
311.compression,arm64,1024,300,3,0,1.0,0.0,3,398.37533333333334,366.96333333333337,397.837,399.5974,399.75388,measured
311.compression,arm64,1024,900,3,0,1.0,0.0,3,403.597,375.0113333333333,401.931,406.98089999999996,407.42978,measured
311.compression,arm64,2048,60,3,0,1.0,0.0,3,401.54133333333334,372.3806666666667,397.6,409.7914,410.87508,measured
311.compression,arm64,2048,120,3,0,1.0,0.0,3,411.4626666666666,380.201,405.112,432.2551,434.66782,measured
311.compression,arm64,2048,300,3,0,1.0,0.0,3,401.05133333333333,369.904,395.762,410.7803,412.11526000000003,measured
311.compression,arm64,2048,900,3,0,1.0,0.0,3,399.9636666666667,372.3913333333333,394.434,409.5405,410.8833,measured
