benchmark,architecture,memory_mb,timeout_sec,concurrency,invocations,failed_invocations,success_rate,rounds,cold_rate,successful_invocations,mean_client_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,profile_source,warm_only_successful_invocations,warm_only_mean_client_latency_ms,warm_only_p50_latency_ms,warm_only_p95_latency_ms,warm_only_p99_latency_ms,warm_mean_client_latency_ms,warm_p50_latency_ms,warm_p95_latency_ms,warm_p99_latency_ms,latency_slowdown_mean,latency_slowdown_p50,latency_slowdown_p95,latency_slowdown_p99
110.dynamic-html,arm64,128,60,1,5,0,1.0,5,0.0,5,28.632799999999996,28.799,29.112,29.121599999999997,measured,5,28.632799999999996,28.799,29.112,29.121599999999997,29.216,29.059,31.147,31.332600000000003,0.9800383351588169,0.9910526859148628,0.9346646547018974,0.9294345186802243
110.dynamic-html,arm64,128,60,2,10,0,1.0,5,0.0,10,25.949599999999997,25.889499999999998,30.70005,30.83361,measured,10,25.949599999999997,25.889499999999998,30.70005,30.83361,29.216,29.059,31.147,31.332600000000003,0.8881982475355968,0.89092880002753,0.9856503034000065,0.9840744145075735
110.dynamic-html,arm64,128,60,4,20,0,1.0,5,0.1,20,87.39155,33.841499999999996,543.9616500000001,566.33073,measured,18,35.18988888888889,29.442,50.25174999999992,85.79194999999991,29.216,29.059,31.147,31.332600000000003,1.2044731958135573,1.0131800819023367,1.6133736796481177,2.73810504075627
110.dynamic-html,arm64,128,120,1,5,0,1.0,5,0.0,5,28.308999999999997,28.208,28.613799999999998,28.69156,measured,5,28.308999999999997,28.208,28.613799999999998,28.69156,29.093333333333334,28.808,29.7809,29.86738,0.9730407882676443,0.9791724520966397,0.9608104523369004,0.9606319670490012
110.dynamic-html,arm64,128,120,2,10,0,1.0,5,0.0,10,28.2015,27.4105,31.757749999999998,32.19155,measured,10,28.2015,27.4105,31.757749999999998,32.19155,29.093333333333334,28.808,29.7809,29.86738,0.9693457836846929,0.9514891696750902,1.0663797937604302,1.077816333404537
110.dynamic-html,arm64,128,120,4,20,0,1.0,5,0.0,20,31.276850000000003,29.5185,44.1285,48.57449999999999,measured,20,31.276850000000003,29.5185,44.1285,48.57449999999999,29.093333333333334,28.808,29.7809,29.86738,1.0750521310724108,1.0246632879755624,1.4817718739191899,1.626339504837719
110.dynamic-html,arm64,128,300,1,5,0,1.0,5,0.0,5,28.531,28.579,28.8594,28.87828,measured,5,28.531,28.579,28.8594,28.87828,28.284666666666663,28.414,28.4482,28.45124,1.0087090767671532,1.005806996550996,1.0144543415752139,1.0150095391272929
110.dynamic-html,arm64,128,300,2,10,0,1.0,5,0.0,10,30.559500000000003,30.947499999999998,33.43705,34.16101,measured,10,30.559500000000003,30.947499999999998,33.43705,34.16101,28.284666666666663,28.414,28.4482,28.45124,1.0804263794281945,1.0891637924966564,1.1753661040065804,1.200686156385451
110.dynamic-html,arm64,128,300,4,20,0,1.0,5,0.0,20,30.410050000000002,28.7625,41.06195,43.021989999999995,measured,20,30.410050000000002,28.7625,41.06195,43.021989999999995,28.284666666666663,28.414,28.4482,28.45124,1.0751425978739955,1.0122650805940732,1.4433936066253754,1.5121305784914822
110.dynamic-html,arm64,128,900,1,5,0,1.0,5,0.0,5,30.8334,30.983,32.3944,32.62288,measured,5,30.8334,30.983,32.3944,32.62288,26.658,26.449,28.2436,28.40312,1.1566284042313753,1.1714242504442511,1.14696426801116,1.1485667771709587
110.dynamic-html,arm64,128,900,2,10,0,1.0,5,0.0,10,33.8073,34.461,36.28015,36.58723,measured,10,33.8073,34.461,36.28015,36.58723,26.658,26.449,28.2436,28.40312,1.2681859104208866,1.3029226057695942,1.284544109107904,1.2881412323716548
